ICOUNT,MIN,AVG,MAX
16,180.82,181.80,183.05
17,180.70,181.05,181.52
18,180.98,181.39,181.75
19,180.88,181.36,181.88
20,180.82,181.33,181.97
21,180.96,181.36,181.73
22,181.21,181.59,182.03
23,181.27,181.67,182.01
24,181.34,181.81,182.28
25,181.56,181.96,182.36
26,181.81,182.27,182.84
27,181.91,182.42,182.71
28,181.92,182.41,182.79
29,181.92,182.34,182.67
30,182.00,182.50,182.82
31,181.93,182.45,182.96
32,181.96,182.42,182.71
33,182.57,183.08,183.52
34,183.11,183.53,183.78
35,183.14,183.36,183.81
36,182.85,183.35,183.60
37,182.88,183.35,183.79
38,182.99,183.36,183.66
39,182.64,183.06,183.30
40,182.53,182.94,183.20
41,182.89,183.36,183.75
42,182.99,183.36,183.67
43,183.03,183.35,184.07
44,183.12,183.36,183.78
45,183.60,184.07,184.56
46,185.07,185.55,185.92
47,185.36,185.58,186.12
48,183.79,184.94,185.91
49,184.69,185.15,185.77
50,184.57,185.04,185.31
51,183.79,184.99,185.62
52,184.57,184.98,185.41
53,184.78,185.22,185.54
54,184.82,185.31,185.65
55,185.44,185.86,186.20
56,185.38,185.81,186.23
57,185.34,185.79,186.02
58,185.60,186.03,186.53
59,185.55,186.09,186.47
60,185.44,185.93,186.37
61,185.42,185.98,186.32
62,185.64,186.18,186.64
63,186.53,186.98,187.26
64,185.35,185.90,187.16
65,186.44,186.96,187.22
66,186.48,186.95,187.20
67,186.29,186.73,187.14
68,186.28,186.78,187.22
69,186.35,186.80,187.07
70,186.44,186.99,187.31
71,186.61,187.14,187.79
72,186.60,187.14,187.36
73,186.61,187.12,187.48
74,186.86,187.41,188.27
75,187.02,187.51,187.99
76,186.66,187.51,187.80
77,186.98,187.54,188.14
78,187.20,187.73,188.09
79,187.52,187.66,188.24
80,186.19,187.20,188.15
81,188.04,188.51,188.82
82,188.47,188.95,189.35
83,188.97,189.44,189.88
84,188.99,189.44,189.70
85,189.26,189.73,190.05
86,189.36,189.86,190.32
87,189.50,189.93,190.18
88,190.41,190.93,191.50
89,190.00,190.43,190.68
90,190.14,190.63,191.08
91,190.58,191.09,191.37
92,189.87,191.22,192.05
93,190.91,191.53,191.89
94,192.62,193.13,193.50
95,192.95,193.46,193.83
96,192.94,193.42,193.83
97,193.46,193.94,194.32
98,194.05,194.56,194.89
99,194.19,194.68,195.15
100,194.14,194.63,194.89
101,194.81,195.31,195.76
102,195.30,195.80,196.12
103,195.75,196.03,196.48
104,195.80,196.36,196.65
105,196.19,196.72,197.15
106,196.60,197.24,198.74
107,197.84,198.35,198.68
108,197.68,198.21,198.74
109,198.09,198.56,198.74
110,198.61,199.10,199.47
111,199.33,199.92,200.54
112,199.28,199.80,200.27
113,199.71,200.22,200.66
114,200.09,200.64,201.02
115,200.64,201.15,201.63
116,200.58,201.14,201.49
117,201.01,201.57,202.00
118,201.50,202.01,202.43
119,201.75,202.64,203.13
120,201.85,202.40,202.90
121,201.99,202.53,202.84
122,202.53,203.07,203.42
123,203.29,203.86,204.19
124,203.05,203.64,204.11
125,203.55,204.11,204.43
126,204.09,204.69,205.17
127,204.97,205.07,205.50
128,204.84,205.40,205.73
129,205.24,205.82,206.24
130,214.70,215.28,215.90
131,219.37,220.39,221.28
132,239.02,240.47,243.15
133,257.17,261.27,263.77
134,296.64,297.66,299.01
135,325.06,325.64,326.12
136,324.90,325.49,326.09
137,325.27,325.77,326.04
138,325.81,326.26,327.06
139,326.01,326.52,327.00
140,325.87,326.44,326.70
141,326.13,326.70,327.05
142,326.07,327.02,327.37
143,327.90,328.47,328.86
144,328.05,328.50,328.84
145,327.90,328.53,328.96
146,328.34,328.82,329.18
147,328.37,328.87,329.29
148,328.46,329.01,329.39
149,328.42,328.92,329.34
150,328.76,330.02,331.28
151,329.91,330.17,330.87
152,330.10,330.60,331.07
153,329.99,330.55,331.17
154,330.47,330.94,331.18
155,330.60,331.10,331.58
156,330.75,331.26,331.82
157,330.53,331.10,331.56
158,330.91,331.43,331.98
159,331.01,331.49,331.90
160,331.13,332.83,336.59
161,333.58,334.61,337.20
162,332.52,333.47,334.76
163,332.63,333.13,333.54
164,332.70,333.87,335.47
165,333.95,334.83,336.80
166,335.45,335.98,336.58
167,334.24,335.46,336.53
168,334.56,335.04,335.62
169,334.33,334.85,335.41
170,334.69,335.16,335.44
171,334.34,334.94,335.19
172,333.98,335.35,335.95
173,333.61,334.12,334.65
174,333.87,334.46,334.88
175,334.02,334.51,334.85
176,334.20,334.77,335.38
177,334.22,334.77,335.40
178,333.40,333.99,335.17
179,333.02,333.56,333.87
180,333.68,334.23,334.54
181,333.50,338.51,340.00
182,337.98,338.55,338.94
183,337.17,338.00,339.46
184,337.34,337.84,338.33
185,337.19,337.70,338.11
186,337.33,337.86,338.30
187,337.88,338.42,338.86
188,336.46,337.65,338.54
189,336.51,336.99,337.44
190,337.72,338.61,340.75
191,339.26,340.18,341.91
192,339.17,339.75,340.85
193,338.23,339.58,340.55
194,338.20,338.75,339.30
195,338.51,339.03,339.52
196,338.50,338.98,339.77
197,338.65,339.22,339.71
198,338.84,339.29,339.85
199,338.41,339.33,340.19
200,338.24,338.78,339.45
201,338.31,338.82,339.24
202,338.47,339.01,339.46
203,338.80,339.32,339.77
204,338.21,338.82,339.32
205,338.39,338.88,339.34
206,338.68,339.16,339.45
207,339.25,340.16,341.60
208,339.96,341.15,344.01
209,340.47,341.59,343.66
210,341.16,341.67,342.39
211,342.12,342.65,343.34
212,341.76,342.44,343.09
213,342.32,342.91,343.58
214,342.38,343.18,343.98
215,342.59,343.18,343.66
216,342.78,343.39,344.20
217,343.64,344.17,344.72
218,343.73,344.32,344.88
219,343.58,344.44,345.42
220,345.08,345.83,347.07
221,346.29,346.86,347.41
222,346.89,347.47,348.35
223,347.32,349.53,350.51
224,348.96,350.11,350.79
225,349.43,349.95,350.49
226,350.05,350.58,351.23
227,350.36,350.89,351.36
228,350.87,351.42,351.87
229,351.23,351.91,352.33
230,351.33,351.91,352.62
231,352.59,353.16,354.07
232,352.36,352.94,353.61
233,352.75,353.36,353.90
234,352.93,353.83,354.47
235,353.27,353.82,354.35
236,354.10,354.69,355.01
237,354.78,356.55,358.30
238,357.28,357.84,358.13
239,358.73,359.70,360.33
240,358.40,359.06,359.53
241,358.92,359.50,359.94
242,359.68,361.84,363.53
243,362.56,363.36,364.28
244,361.19,362.72,363.84
245,361.59,362.17,362.81
246,362.37,362.94,363.92
247,363.27,363.83,364.60
248,363.30,363.86,364.46
249,362.34,363.56,364.89
250,362.82,363.47,363.74
251,363.16,363.78,364.50
252,364.05,364.67,365.30
253,364.35,364.99,365.66
254,364.64,365.32,366.18
255,365.34,365.93,366.59
