ICOUNT,MIN,AVG,MAX
16,182.85,183.56,186.50
17,182.63,182.90,183.18
18,182.77,182.95,183.19
19,182.66,182.87,183.20
20,182.79,183.02,183.25
21,182.78,183.01,183.45
22,182.70,183.02,183.55
23,182.65,182.87,183.15
24,183.39,183.60,184.09
25,182.85,183.07,183.98
26,182.98,183.23,183.91
27,182.97,183.19,183.76
28,183.17,183.37,183.72
29,183.25,183.50,183.80
30,183.25,183.47,183.74
31,183.21,183.42,183.72
32,183.22,183.43,183.98
33,183.10,183.31,183.56
34,183.27,183.47,183.83
35,183.44,183.62,183.86
36,183.81,183.93,184.11
37,184.12,184.25,184.39
38,183.90,184.05,184.22
39,183.85,183.99,184.17
40,183.81,183.99,184.39
41,183.72,183.92,184.07
42,183.79,183.94,184.14
43,184.21,184.38,184.55
44,183.96,184.10,184.26
45,183.87,184.07,184.28
46,184.05,184.21,184.37
47,184.28,184.46,185.24
48,184.58,184.69,184.78
49,184.73,184.90,185.51
50,184.74,184.88,185.51
51,184.41,184.57,185.00
52,184.56,184.68,184.96
53,184.28,184.39,184.52
54,184.18,184.35,185.14
55,184.16,184.29,184.44
56,184.78,184.92,185.09
57,184.92,185.05,185.21
58,184.87,185.01,185.20
59,184.86,185.00,185.14
60,185.03,185.16,185.33
61,185.14,185.25,185.37
62,185.19,185.28,185.41
63,185.24,185.35,185.46
64,185.46,185.56,185.74
65,186.14,186.25,186.36
66,186.16,186.26,186.38
67,186.16,186.26,186.37
68,186.29,186.41,186.52
69,186.27,186.41,186.99
70,186.09,186.26,186.37
71,186.11,186.25,186.41
72,186.25,186.38,186.53
73,186.31,186.44,186.56
74,186.35,186.46,186.60
75,186.53,186.65,186.76
76,186.66,186.77,186.91
77,186.72,186.84,187.03
78,186.68,186.80,186.93
79,186.72,186.83,187.49
80,186.93,187.05,187.16
81,186.98,187.12,187.28
82,187.15,187.25,187.42
83,187.03,187.20,188.03
84,187.25,187.38,187.57
85,187.92,188.05,188.54
86,187.89,188.01,188.23
87,187.83,187.99,188.27
88,188.02,188.15,188.26
89,187.62,187.73,187.84
90,187.64,187.73,188.01
91,187.56,187.66,187.80
92,187.86,187.95,188.02
93,189.48,189.56,189.69
94,189.50,189.58,189.66
95,189.49,189.61,189.71
96,189.69,189.78,189.91
97,189.54,189.65,189.80
98,188.50,188.95,189.81
99,189.52,189.64,189.99
100,189.78,189.92,190.08
101,190.67,190.78,190.86
102,190.68,190.78,190.91
103,190.61,190.72,190.85
104,190.88,191.04,191.15
105,190.65,190.76,191.04
106,190.65,190.74,190.88
107,190.63,190.77,190.88
108,190.84,190.95,191.08
109,190.87,191.00,191.12
110,190.91,191.05,191.17
111,191.58,191.69,191.81
112,191.88,192.04,192.17
113,192.17,192.25,192.55
114,192.28,192.38,192.47
115,191.44,191.63,191.76
116,191.66,191.76,191.90
117,191.68,191.79,191.86
118,191.77,191.85,191.92
119,191.87,191.97,192.10
120,192.17,192.25,192.37
121,192.33,192.42,192.53
122,192.36,192.48,192.62
123,192.41,192.50,192.60
124,193.29,193.50,195.34
125,194.35,194.69,195.39
126,194.27,194.34,194.41
127,194.03,194.11,194.21
128,194.14,194.21,194.30
129,193.97,194.11,194.75
130,193.89,194.02,194.15
131,193.92,193.99,194.12
132,194.24,194.36,195.23
133,194.40,194.49,194.58
134,194.33,194.43,194.59
135,194.40,194.49,194.57
136,194.55,194.62,194.74
137,194.69,194.78,195.46
138,194.14,194.56,195.25
139,194.33,194.43,194.86
140,194.57,194.69,195.08
141,194.67,194.77,195.04
142,194.67,194.82,194.93
143,194.77,195.00,195.45
144,195.12,195.24,195.44
145,195.25,195.35,195.48
146,195.24,195.32,195.39
147,195.39,195.49,195.82
148,195.53,195.67,196.33
149,195.60,195.78,195.93
150,195.70,195.81,196.13
151,195.84,195.94,196.44
152,195.97,196.09,196.60
153,196.09,196.19,196.58
154,196.15,196.25,196.37
155,196.05,196.27,196.44
156,196.34,196.59,196.94
157,196.56,196.76,196.92
158,196.63,196.81,196.99
159,196.71,196.81,196.94
160,196.87,196.98,197.11
161,197.02,197.14,197.28
162,197.00,197.11,197.28
163,197.10,197.22,197.31
164,197.34,197.46,197.79
165,197.49,197.60,198.27
166,197.36,197.59,197.70
167,197.66,197.75,197.82
168,197.83,197.96,198.42
169,198.14,198.24,198.40
170,198.17,198.27,198.37
171,198.22,198.32,198.54
172,198.28,198.41,198.51
173,198.48,198.57,198.67
174,198.41,198.59,198.71
